"","study","ecosystem","population","latitude","longitude","acc_temp_1","acc_temp_2","limit_1","limit_2","ARR","limit_type","upper_lower","sex","mean_temp","temp_range","acc_time","taxon","phylum","common_name","model_arr","lat_slope","range_slope","lim_slope"
"1","Llewelyn_et_al_2017","terrestrial","HR",-19.03,146.25,23,26,38.95526,38.8125,-0.0475866666666676,"CTmax","upper","female",20.025,16.5,2,53,3,21,-0.0475866666666673,-0.0455087719298286,0.0175864406779676,-0.0822469826825017
"2","Llewelyn_et_al_2017","terrestrial","HR",-19.03,146.25,23,26,38.96531,38.92424,-0.0136900000000016,"CTmax","upper","male",20.025,16.5,2,53,3,21,-0.0136900000000012,-0.0455087719298286,0.0175864406779676,-0.0822469826825017
"3","Llewelyn_et_al_2017","terrestrial","P",-19.6,146.8,23,26,39.26471,39.11667,-0.0493466666666672,"CTmax","upper","female",24.375,17.975,2,53,3,21,-0.0493466666666627,-0.0455087719298286,0.0175864406779676,-0.0822469826825017
"4","Llewelyn_et_al_2017","terrestrial","P",-19.6,146.8,23,26,39.03571,39.15556,0.0399499999999999,"CTmax","upper","male",24.375,17.975,2,53,3,21,0.0399499999999988,-0.0455087719298286,0.0175864406779676,-0.0822469826825017
"5","Diamond_et_al_2018","terrestrial","Cin_rural",39.1706271583333,-84.566396718125,21,23,47.8,47.2,-0.299999999999997,"CTmax","upper","female",12.3766666666667,33.6775,2,103,2,3,-0.0566666669999978,-0.0406883598740571,-0.112661971631958,-0.00977822031894319
"6","Diamond_et_al_2018","terrestrial","Cin_rural",39.1706271583333,-84.566396718125,21,25,47.8,47.5,-0.0749999999999993,"CTmax","upper","female",12.3766666666667,33.6775,2,103,2,3,-0.0566666669999978,-0.0406883598740571,-0.112661971631958,-0.00977822031894319
"7","Diamond_et_al_2018","terrestrial","Cin_rural",39.1706271583333,-84.566396718125,21,27,47.8,47,-0.133333333333333,"CTmax","upper","female",12.3766666666667,33.6775,2,103,2,3,-0.0566666669999978,-0.0406883598740571,-0.112661971631958,-0.00977822031894319
"8","Diamond_et_al_2018","terrestrial","Cin_rural",39.1706271583333,-84.566396718125,21,29,47.8,47.33333333,-0.0583333337499994,"CTmax","upper","female",12.3766666666667,33.6775,2,103,2,3,-0.0566666669999978,-0.0406883598740571,-0.112661971631958,-0.00977822031894319
"9","Diamond_et_al_2018","terrestrial","Cin_rural",39.1706271583333,-84.566396718125,23,25,47.2,47.5,0.149999999999999,"CTmax","upper","female",12.3766666666667,33.6775,2,103,2,3,-0.0566666669999978,-0.0406883598740571,-0.112661971631958,-0.00977822031894319
"10","Diamond_et_al_2018","terrestrial","Cin_rural",39.1706271583333,-84.566396718125,23,27,47.2,47,-0.0500000000000007,"CTmax","upper","female",12.3766666666667,33.6775,2,103,2,3,-0.0566666669999978,-0.0406883598740571,-0.112661971631958,-0.00977822031894319
"11","Diamond_et_al_2018","terrestrial","Cin_rural",39.1706271583333,-84.566396718125,23,29,47.2,47.33333333,0.0222222216666665,"CTmax","upper","female",12.3766666666667,33.6775,2,103,2,3,-0.0566666669999978,-0.0406883598740571,-0.112661971631958,-0.00977822031894319
"12","Diamond_et_al_2018","terrestrial","Cin_rural",39.1706271583333,-84.566396718125,25,27,47.5,47,-0.25,"CTmax","upper","female",12.3766666666667,33.6775,2,103,2,3,-0.0566666669999978,-0.0406883598740571,-0.112661971631958,-0.00977822031894319
"13","Diamond_et_al_2018","terrestrial","Cin_rural",39.1706271583333,-84.566396718125,25,29,47.5,47.33333333,-0.0416666674999995,"CTmax","upper","female",12.3766666666667,33.6775,2,103,2,3,-0.0566666669999978,-0.0406883598740571,-0.112661971631958,-0.00977822031894319
