Pop	ID	treat	CT	S0	S24	W	min/max	device	date
Can	Can1	24	36	n	n	NA	max	resis	3/8/15
Can	Can2	24	36	y	n	NA	max	resis	3/8/15
Can	Can3	24	35,4	y	n	NA	max	resis	3/8/15
Can	Can4	24	35,6	y	n	NA	max	resis	3/8/15
Can	Can5	24	-2,1	y	y	0,181	min	huber	3/8/15
Can	Can6	24	NA	n	n	NA	NA	NA	3/8/15
Can	Can7	24	0	y	y	0,135	min	huber	3/8/15
Can	Can8	24	-2	y	y	0,13	min	huber	3/8/15
Can	Can9	14	35,2	y	n	NA	max	resis	3/8/15
Can	Can10	14	34,8	y	n	NA	max	resis	3/8/15
Can	Can11	14	34	y	n	NA	max	resis	3/8/15
Can	Can12	14	35,2	y	y	0,192	max	resis	3/8/15
Can	Can13	14	-1,4	y	y	0,356	min	huber	3/8/15
Can	Can14	14	-1,8	y	y	0,252	min	huber	3/8/15
Can	Can15	14	-2	y	y	0,236	min	huber	3/8/15
Can	Can16	14	-2,2	y	y	0,207	min	huber	3/8/15
Can	Can17	24	36,2	y	n	NA	max	huber	3/8/15
Can	Can18	24	35,6	y	n	NA	max	huber	3/8/15
Can	Can19	24	36	y	y	0,25	max	huber	3/8/15
Can	Can20	24	35,4	y	n	NA	max	huber	3/8/15
Can	Can21	14	33,2	y	y	0,16	max	huber	3/8/15
Can	Can22	14	34	y	y	0,244	max	huber	3/8/15
Can	Can23	14	35,8	y	y	0,186	max	huber	3/8/15
Can	Can24	14	35	y	y	0,264	max	huber	3/8/15
Can	Can25	24	34,5	y	y	0,22	max	resist	4/8/15
Can	Can26	24	33,8	y	y	0,261	max	resist	4/8/15
Can	Can27	24	34,8	y	y	0,254	max	resist	4/8/15
Can	Can28	24	34,2	y	n	NA	max	resist	4/8/15
Can	Can29	24	NA	NA	NA	NA	NA	NA	4/8/15
Can	Can30	24	NA	NA	NA	NA	NA	NA	4/8/15
Can	Can31	24	-0,2	y	y	0,224	min	huber	4/8/15
Can	Can32	24	0	y	y	0,247	min	huber	4/8/15
Can	Can33	14	35,2	y	y	0,18	max	resist	4/8/15
Can	Can34	14	34,2	y	y	0,214	max	resist	4/8/15
Can	Can35	14	33	y	y	0,147	max	resist	4/8/15
Can	Can36	14	33,2	y	y	0,179	max	resist	4/8/15
Can	Can37	14	-1,8	y	y	0,213	min	huber	4/8/15
Can	Can38	14	-0,8	y	y	0,264	min	huber	4/8/15
Can	Can39	14	-0,8	y	y	0,224	min	huber	4/8/15
Can	Can40	14	-1,8	y	y	0,145	min	huber	4/8/15
Can	Can41	24	35,2	y	y	0,233	max	resist	4/8/15
Can	Can42	24	36,2	y	y	0,216	max	resist	4/8/15
Can	Can43	24	34,8	y	y	0,194	max	resist	4/8/15
Can	Can44	24	35,1	y	n	NA	max	resist	4/8/15
Can	Can45	24	35,4	y	y	0,234	max	resist	4/8/15
Can	Can46	24	-0,2	y	y	0,255	min	huber	4/8/15
Can	Can47	24	-0,4	y	y	0,11	min	huber	4/8/15
Can	Can48	24	-1	y	y	0,234	min	huber	4/8/15
Can	Can49	24	33,6	y	y	0,177	max	resist	4/8/15
Can	Can50	24	35,4	y	y	0,181	max	resist	4/8/15
Can	Can51	24	35	y	y	0,168	max	resist	4/8/15
Can	Can52	24	34,8	y	y	0,17	max	resist	4/8/15
Can	Can53	24	34	y	y	0,138	max	resist	4/8/15
Can	Can54	14	35,2	y	y	0,212	max	resist	5/8/15
Can	Can55	14	NA	NA	NA	NA	NA	NA	5/8/15
Can	Can56	14	34,2	y	y	0,181	max	resist	5/8/15
Can	Can57	14	34,8	y	y	0,204	max	resist	5/8/15
Can	Can58	14	35,8	y	y	0,145	max	resist	5/8/15
Can	Can59	14	34,8	y	y	0,183	max	resist	5/8/15
Can	Can60	14	-0,8	y	y	0,201	min	huber	5/8/15
Can	Can61	14	-1,6	y	y	0,26	min	huber	5/8/15
Can	Can62	14	0,2	y	y	0,148	min	huber	5/8/15
Can	Can63	14	-1,4	y	y	0,152	min	huber	5/8/15
Can	Can64	14	-1,4	y	y	0,25	min	huber	5/8/15
Can	Can65	14	-1,6	y	y	0,247	min	huber	5/8/15
Can	Can66	14	35	y	y	0,172	max	resist	5/8/15
Can	Can67	14	34,2	y	y	0,129	max	resist	5/8/15
Can	Can68	14	35,4	y	y	0,206	max	resist	5/8/15
Can	Can69	14	35	y	y	0,16	max	resist	5/8/15
Can	Can70	14	35,6	y	y	0,246	max	resist	5/8/15
Can	Can71	14	34,8	y	y	0,211	max	resist	5/8/15
Can	Can72	14	-2	y	y	0,279	min	huber	5/8/15
Can	Can73	14	-0,7	y	y	0,205	min	huber	5/8/15
Can	Can74	14	-1	y	y	0,196	min	huber	5/8/15
Can	Can75	14	-0,9	y	y	0,138	min	huber	5/8/15
Can	Can76	14	-0,6	y	y	0,175	min	huber	5/8/15
Can	Can77	14	-1,6	y	y	0,165	min	huber	5/8/15
Can	Can78	24	35,2	y	y	0,252	max	resist	10/8/15
Can	Can79	24	35,6	y	y	0,186	max	resist	10/8/15
Can	Can80	24	35,2	y	y	0,284	max	resist	10/8/15
Can	Can81	24	35,4	y	y	0,256	max	resist	10/8/15
Can	Can82	24	35,2	y	y	0,309	max	resist	10/8/15
Can	Can83	24	34,8	y	y	0,154	max	resist	10/8/15
Can	Can84	24	-1,4	y	y	0,164	min	huber	10/8/15
Can	Can85	24	NA	NA	NA	NA	min	huber	10/8/15
Can	Can86	24	NA	NA	NA	NA	min	huber	10/8/15
Can	Can87	24	-0,4	y	y	0,277	min	huber	10/8/15
Can	Can88	24	-1	y	y	0,211	min	huber	10/8/15
Can	Can89	24	-0,8	y	y	0,204	min	huber	10/8/15
Can	Can90	14	34,8	y	y	0,367	max	resist	10/8/15
Can	Can91	14	34,8	y	y	0,285	max	resist	10/8/15
Can	Can92	14	35,6	y	y	0,273	max	resist	10/8/15
Can	Can93	14	35,2	y	y	0,262	max	resist	10/8/15
Can	Can94	14	35	y	y	0,216	max	resist	10/8/15
Can	Can95	14	34,8	y	y	0,368	max	resist	10/8/15
Can	Can96	14	-1	y	y	0,265	min	huber	10/8/15
Can	Can97	14	-0,8	y	y	0,204	min	huber	10/8/15
Can	Can98	14	-1,2	y	y	0,328	min	huber	10/8/15
Can	Can99	14	-1,4	y	y	0,265	min	huber	10/8/15
Can	Can100	14	-0,8	y	y	0,19	min	huber	10/8/15
Can	Can101	14	-1,2	y	n	NA	min	huber	10/8/15
Can	Can102	24	35,6	y	y	0,203	max	resist	10/8/15
Can	Can103	24	35,2	y	y	0,226	max	resist	10/8/15
Can	Can104	24	36,2	y	y	0,182	max	resist	10/8/15
Can	Can105	24	35,2	y	y	0,188	max	resist	10/8/15
Can	Can106	24	35,2	y	y	0,17	max	resist	10/8/15
Can	Can107	24	35,4	y	y	0,199	max	resist	10/8/15
