,study,taxon,phylum,common_name,number_of_populations,ecosystem,dispersal_mode,acclimation_time,source_population,latitude,longitude,life_history_stage,sex,number_acc_temps,acclimation_temperature_1,acclimation_temperature_2,measurement_level,thermal_limit_type,thermal_limit_1,thermal_limit_2,thermal_limit_error_type,thermal_limit_error_1,thermal_limit_error_2,n_1,n_2,ni,max_temp,min_temp,mean_temp,temp_range,upper_lower,ARR
1,Armstong_et_al_2020,Arabidopsis_kamchatica,Tracheophyta,rockcress,10,terrestrial,direct,<1,Taiwan,24,121,adult,uncertain,2,4,20,population,LD50_low,-14.52569185,-7.910062901,NA,NA,NA,2,2,112,26.85,8.05,18.05,18.8,lower,0.413476809
2,Armstong_et_al_2020,Arabidopsis_kamchatica,Tracheophyta,rockcress,10,terrestrial,direct,<1,Strathcona_Park_BC,49.82915,-125.8728,adult,uncertain,2,4,20,population,LD50_low,-20.78604925,-9.716357998,NA,NA,NA,12,12,112,20.02,-1.4,7.22,21.42,lower,0.691855703
3,Armstong_et_al_2020,Arabidopsis_kamchatica,Tracheophyta,rockcress,10,terrestrial,direct,<1,Grant_Lagoon_Kodiak_AK,57.37,-154.65,adult,uncertain,2,4,20,population,LD50_low,-23.33244964,-11.4111571,NA,NA,NA,1,1,112,13.08333333,-2.516666667,4.483333333,15.6,lower,0.745080784
4,Armstong_et_al_2020,Arabidopsis_kamchatica,Tracheophyta,rockcress,10,terrestrial,direct,<1,Portage_Glacier_AK,60.7916167,-148.90213,adult,uncertain,2,4,20,population,LD50_low,-12.58644191,-9.311340928,NA,NA,NA,12,12,112,16.675,-8.6875,3.375,25.3625,lower,0.204693811
5,Armstong_et_al_2020,Arabidopsis_kamchatica,Tracheophyta,rockcress,10,terrestrial,direct,<1,Thompson_Pass_AK,61.13,-145.73,adult,uncertain,2,4,20,population,LD50_low,-26.800005,-10.62100617,NA,NA,NA,1,1,112,12.8125,-15.9,-1.475,28.7125,lower,1.011187427
6,Armstong_et_al_2020,Arabidopsis_kamchatica,Tracheophyta,rockcress,10,terrestrial,direct,<1,Exit_Glacier_AK,60.18795,-149.6312833,adult,uncertain,2,4,20,population,LD50_low,-29.81377318,-9.704653169,NA,NA,NA,3,3,112,14.38333333,-7.75,2.583333333,22.13333333,lower,1.256820001
7,Armstong_et_al_2020,Arabidopsis_kamchatica,Tracheophyta,rockcress,10,terrestrial,direct,<1,Goodnews_Bay_AK,59.1166667,-161.58333,adult,uncertain,2,4,20,population,LD50_low,-27.65280678,-12.84935036,NA,NA,NA,1,1,112,13.85714286,-11.7,1.128571429,25.55714286,lower,0.925216026
8,Armstong_et_al_2020,Arabidopsis_kamchatica,Tracheophyta,rockcress,10,terrestrial,direct,<1,Rainbow_ridge_AK,63.32,-145.64,adult,uncertain,2,4,20,population,LD50_low,-3.217102055,-10.02931209,NA,NA,NA,1,1,112,12.34285714,-24.42857143,-6.871428571,36.77142857,lower,-0.425763127
9,Armstong_et_al_2020,Arabidopsis_kamchatica,Tracheophyta,rockcress,10,terrestrial,direct,<1,Ptarmigan_Creek_AK,65.4529,-145.5075657,adult,uncertain,2,4,20,population,LD50_low,-21.35861043,-10.35427114,NA,NA,NA,12,12,112,17.625,-27.7625,-5.725,45.3875,lower,0.687771206
10,Armstong_et_al_2020,Arabidopsis_lyrata,Tracheophyta,rockcress,9,terrestrial,direct,<1,Cedar_Mountain_NC,36.426667,-79.93777778,adult,uncertain,2,4,20,population,LD50_low,-18.05094602,-9.863268598,NA,NA,NA,1,1,112,29.8,-0.5,14.74,30.3,lower,0.511729839
