"","...1","primary","checked_by","needs_review","study","doi","taxon","phylum","common_name","number_of_populations","ecosystem","dispersal_mode","acclimation_time","envtl_data_reported","year","source_population","latitude","longitude","life_history_stage","sex","acclimation_temperature_1","acclimation_temperature_2","measurement_level","thermal_limit_type","thermal_limit_1","thermal_limit_2","thermal_limit_error_type","thermal_limit_error_1","thermal_limit_error_2","n_1","n_2","figure_table","notes","max_temp","min_temp","mean_temp","temp_range","upper_lower","sd1i","sd2i","yi","vi","ni"
"1",224,"AV","NA","NA","Barria_et_al_2017","10.1016/j.jtherbio.2017.08.010","Pleurodema_thaul","Chordata","frog",2,"terrestrial","uncertain","<1","yes","2012","Carrera_Pinto",-27.1,-69.883,"adult","uncertain",10,20,"individual","CTmax",38.664,39.618,"CI",0.190545,0.300182,22,22,"fig_2","NA",24.7,4,15.3,20.7,"upper",0.45598738314059,0.71835631817108,1.55713191924173,0.118462043340016,128
"2",226,"AV","NA","NA","Barria_et_al_2017","10.1016/j.jtherbio.2017.08.010","Pleurodema_thaul","Chordata","frog",2,"terrestrial","uncertain","<1","yes","2012","El_Caulle",-40.65,-72.167,"adult","uncertain",10,20,"individual","CTmax",35.745,37.636,"CI",0.700455,0.491273,10,10,"fig_2","*on pg.255, section 2.2, it is unclear if there were two separate groups of acclimation temperature for El Caulle or if they performed thermal tolerance assays after 10C acc and then raised temperature to 20C and performed a second round of thermal tolerance assay",21.4,1.975,10.3,19.425,"upper",1.13011897880267,0.792623282114235,1.85530918339469,0.286054304149717,128
"3",224,"AV","NA","NA","Barria_et_al_2017","10.1016/j.jtherbio.2017.08.010","Pleurodema_thaul","Chordata","frog",2,"terrestrial","uncertain","<1","yes","2012","Carrera_Pinto",-27.1,-69.883,"adult","uncertain",10,20,"individual","CTmin",1.63143254520166,1.23504867872044,"CI",0.278164117,0.23643949930458,22,22,"fig_2","NA",24.7,4,15.3,20.7,"lower",0.665665999078657,0.565816098868859,-0.6301071186889,0.095420852057073,128
"4",226,"AV","NA","NA","Barria_et_al_2017","10.1016/j.jtherbio.2017.08.010","Pleurodema_thaul","Chordata","frog",2,"terrestrial","uncertain","<1","yes","2012","El_Caulle",-40.65,-72.167,"adult","uncertain",10,20,"individual","Ctmin",-2.40890125173852,-2.13769123783031,"CI",0.47287899860918,0.45897079276773,10,10,"fig_2","*on pg.255, section 2.2, it is unclear if there were two separate groups of acclimation temperature for El Caulle or if they performed thermal tolerance assays after 10C acc and then raised temperature to 20C and performed a second round of thermal tolerance assay",21.4,1.975,10.3,19.425,"lower",0.762946272073778,0.740506675836308,0.345463923066056,0.202983633053505,128
"5",240,"AV","NA","NA","Campbell_Staton_et_al_2018","10.1111/mec.14580","Anolis_carolinensis","Chordata","lizard",5,"terrestrial","uncertain","<1","no","2013","Hodgen",34.784382,-94.694722,"adult","uncertain",20,30,"individual","CTmin",6.02911208,7.79767103,"std_err",0.356623,0.43668122,10,10,"fig_3","NA",32.18,-0.18,16.2,32.36,"lower",1.12774094600223,1.38090726662107,1.34342879008178,0.245120022850515,108
"6",241,"AV","NA","NA","Campbell_Staton_et_al_2018","10.1111/mec.14580","Anolis_carolinensis","Chordata","lizard",5,"terrestrial","uncertain","<1","no","2013","Arlington",32.768686,-97.08369,"adult","uncertain",20,30,"individual","CTmin",6.356623,8.30349345,"std_err",0.29112082,0.5713246,9,9,"fig_4","NA",34.6,2.5,18.9,32.1,"lower",0.87336246,1.7139738,1.3629390812804,0.273822303868929,108
"7",242,"AV","NA","NA","Campbell_Staton_et_al_2018","10.1111/mec.14580","Anolis_carolinensis","Chordata","lizard",5,"terrestrial","uncertain","<1","no","2013","Austin",30.24407,-97.720786,"adult","uncertain",20,30,"individual","CTmin",6.45487627,8.43085881,"std_err",0.3202329,0.28384279,12,14,"fig_5","NA",34.7,5.45,20.6,29.25,"lower",1.10931930611025,1.06204247188602,1.76525003264249,0.214687052410834,108
"8",243,"AV","NA","NA","Campbell_Staton_et_al_2018","10.1111/mec.14580","Anolis_carolinensis","Chordata","lizard",5,"terrestrial","uncertain","<1","no","2013","Victoria",28.818269,-97.024316,"adult","uncertain",20,30,"individual","CTmin",7.10262009,9.64628821,"std_err",0.55676856,0.37117904,10,15,"fig_6","NA",32.825,8.05,21.5,24.775,"lower",1.76065677917212,1.43757024038126,1.56474256782465,0.215635052737916,108
"9",244,"AV","NA","NA","Campbell_Staton_et_al_2018","10.1111/mec.14580","Anolis_carolinensis","Chordata","lizard",5,"terrestrial","uncertain","<1","no","2013","Brownsville",25.894346,-97.489169,"adult","uncertain",20,30,"individual","CTmin",8.36535662,10.1229985,"std_err",0.505822416,0.64774381,10,9,"fig_7","NA",32.025,13.55,23.8,18.475,"lower",1.5995509261292,1.94323143,0.948648181999711,0.234793568300884,108
"10",268,"AV","NA","NA","Chen_et_al_2001","10.2108/zsj.18.591","Buergeria_japonica","Chordata","frog",2,"terrestrial","uncertain","<1","yes","1998","Chukou",23.45,120.605,"juvenile","uncertain",22,32,"individual","CTmax",42.42424,43.95455,"std_err",0.689394,0.212121,12,12,"fig_4","NA",29.05,11.55,21.325,17.5,"upper",2.38813086886628,0.734808698704636,0.836226457073743,0.181234889323127,48
