"","primary","checked_by","needs_review","study","doi","taxon","phylum","common_name","number_of_populations","ecosystem","dispersal_mode","acclimation_time","envtl_data_reported","year","source_population","latitude","longitude","life_history_stage","sex","acclimation_temperature","measurement_level","thermal_limit_type","thermal_limit","thermal_limit_error_type","thermal_limit_error","n","figure_table","notes","max_temp","min_temp","mean_temp","temp_range","upper_lower"
"1","MS",NA,NA,"Fernando_et_al_2016","10.1111/jai.13047","Atractosteus_spatula","Chordata","fish",3,"freshwater","uncertain","<1","yes","unknown","Fourche",34.928639,-93.361688,"juvenile","uncertain","25","population","CTmax",39.8,"std_err",0.12,5,"Figure_3",NA,32.54,0.06,16.52,32.48,"upper"
"2","MS",NA,NA,"Fernando_et_al_2016","10.1111/jai.13047","Atractosteus_spatula","Chordata","fish",3,"freshwater","uncertain","<1","yes","unknown","Tupelo",31.426799,-91.455487,"juvenile","uncertain","25","population","CTmax",39.8,"std_err",0.16,5,"Figure_3",NA,31.7,4.8,19.2,26.9,"upper"
"3","MS",NA,NA,"Fernando_et_al_2016","10.1111/jai.13047","Atractosteus_spatula","Chordata","fish",3,"freshwater","uncertain","<1","yes","unknown","Rockefeller",29.702907,-92.745953,"juvenile","uncertain","25","population","CTmax",39.7,"std_err",0.12,5,"Figure_3",NA,30.1,9.725,21,20.375,"upper"
"4","MS",NA,NA,"Fernando_et_al_2016","10.1111/jai.13047","Atractosteus_spatula","Chordata","fish",3,"freshwater","uncertain","<1","yes","unknown","Fourche",34.928639,-93.361688,"juvenile","uncertain","30","population","CTmax",41.26,"std_err",0.16,5,"Figure_3",NA,32.54,0.06,16.52,32.48,"upper"
"5","MS",NA,NA,"Fernando_et_al_2016","10.1111/jai.13047","Atractosteus_spatula","Chordata","fish",3,"freshwater","uncertain","<1","yes","unknown","Tupelo",31.426799,-91.455487,"juvenile","uncertain","30","population","CTmax",41.12,"std_err",0.19,5,"Figure_3",NA,31.7,4.8,19.2,26.9,"upper"
"6","MS",NA,NA,"Fernando_et_al_2016","10.1111/jai.13047","Atractosteus_spatula","Chordata","fish",3,"freshwater","uncertain","<1","yes","unknown","Rockefeller",29.702907,-92.745953,"juvenile","uncertain","30","population","CTmax",41.44,"std_err",0.2,5,"Figure_3",NA,30.1,9.725,21,20.375,"upper"
"7","MS",NA,NA,"Fernando_et_al_2016","10.1111/jai.13047","Atractosteus_spatula","Chordata","fish",3,"freshwater","uncertain","<1","yes","unknown","Fourche",34.928639,-93.361688,"juvenile","uncertain","35","population","CTmax",43.9,"std_err",0.17,5,"Figure_3",NA,32.54,0.06,16.52,32.48,"upper"
"8","MS",NA,NA,"Fernando_et_al_2016","10.1111/jai.13047","Atractosteus_spatula","Chordata","fish",3,"freshwater","uncertain","<1","yes","unknown","Tupelo",31.426799,-91.455487,"juvenile","uncertain","35","population","CTmax",44.08,"std_err",0.18,5,"Figure_3",NA,31.7,4.8,19.2,26.9,"upper"
"9","MS",NA,NA,"Fernando_et_al_2016","10.1111/jai.13047","Atractosteus_spatula","Chordata","fish",3,"freshwater","uncertain","<1","yes","unknown","Rockefeller",29.702907,-92.745953,"juvenile","uncertain","35","population","CTmax",44.38,"std_err",0.12,5,"Figure_3",NA,30.1,9.725,21,20.375,"upper"
"10","AV",NA,NA,"Underwood_et_al_2012","10.1111/j.1095-8649.2012.03287.x","Oncorhynchus_clarkii_pleuriticus","Chordata","fish",3,"freshwater","planktonic","1","no","unknown","Carr_Creek",39.61167,-108.575,"juvenile","uncertain","10","population","CTmax",28.2,"std_dev",0.6,17,"Table 1",NA,27.675,-11.725,6.35,39.4,"upper"
