"","study","taxon","phylum","common_name","number_of_populations","ecosystem","dispersal_mode","acclimation_time","source_population","latitude","longitude","life_history_stage","sex","acclimation_temperature_1","acclimation_temperature_2","measurement_level","thermal_limit_type","thermal_limit_1","thermal_limit_2","thermal_limit_error_type","thermal_limit_error_1","thermal_limit_error_2","n_1","n_2","max_temp","min_temp","mean_temp","temp_range","upper_lower","ARR"
"1","Armstong_et_al_2020","Arabidopsis_kamchatica","Tracheophyta","rockcress",10,"terrestrial","direct","<1","Taiwan",24,121,"adult","uncertain",4,20,"population","LD50_low",-14.52569185,-7.910062901,"NA",NA,NA,2,2,26.85,8.05,18.05,18.8,"lower",0.4134768093125
"2","Armstong_et_al_2020","Arabidopsis_kamchatica","Tracheophyta","rockcress",10,"terrestrial","direct","<1","Strathcona_Park_BC",49.82915,-125.8728,"adult","uncertain",4,20,"population","LD50_low",-20.78604925,-9.716357998,"NA",NA,NA,12,12,20.02,-1.4,7.22,21.42,"lower",0.69185570325
"3","Armstong_et_al_2020","Arabidopsis_kamchatica","Tracheophyta","rockcress",10,"terrestrial","direct","<1","Grant_Lagoon_Kodiak_AK",57.37,-154.65,"adult","uncertain",4,20,"population","LD50_low",-23.33244964,-11.4111571,"NA",NA,NA,1,1,13.0833333333333,-2.51666666666667,4.48333333333333,15.6,"lower",0.74508078375
"4","Armstong_et_al_2020","Arabidopsis_kamchatica","Tracheophyta","rockcress",10,"terrestrial","direct","<1","Portage_Glacier_AK",60.7916167,-148.90213,"adult","uncertain",4,20,"population","LD50_low",-12.58644191,-9.311340928,"NA",NA,NA,12,12,16.675,-8.6875,3.375,25.3625,"lower",0.204693811375
"5","Armstong_et_al_2020","Arabidopsis_kamchatica","Tracheophyta","rockcress",10,"terrestrial","direct","<1","Thompson_Pass_AK",61.13,-145.73,"adult","uncertain",4,20,"population","LD50_low",-26.800005,-10.62100617,"NA",NA,NA,1,1,12.8125,-15.9,-1.475,28.7125,"lower",1.011187426875
"6","Armstong_et_al_2020","Arabidopsis_kamchatica","Tracheophyta","rockcress",10,"terrestrial","direct","<1","Exit_Glacier_AK",60.18795,-149.6312833,"adult","uncertain",4,20,"population","LD50_low",-29.81377318,-9.704653169,"NA",NA,NA,3,3,14.3833333333333,-7.75,2.58333333333333,22.1333333333333,"lower",1.2568200006875
"7","Armstong_et_al_2020","Arabidopsis_kamchatica","Tracheophyta","rockcress",10,"terrestrial","direct","<1","Goodnews_Bay_AK",59.1166667,-161.58333,"adult","uncertain",4,20,"population","LD50_low",-27.65280678,-12.84935036,"NA",NA,NA,1,1,13.8571428571429,-11.7,1.12857142857143,25.5571428571429,"lower",0.92521602625
"8","Armstong_et_al_2020","Arabidopsis_kamchatica","Tracheophyta","rockcress",10,"terrestrial","direct","<1","Rainbow_ridge_AK",63.32,-145.64,"adult","uncertain",4,20,"population","LD50_low",-3.217102055,-10.02931209,"NA",NA,NA,1,1,12.3428571428571,-24.4285714285714,-6.87142857142857,36.7714285714286,"lower",-0.4257631271875
"9","Armstong_et_al_2020","Arabidopsis_kamchatica","Tracheophyta","rockcress",10,"terrestrial","direct","<1","Ptarmigan_Creek_AK",65.4529,-145.5075657,"adult","uncertain",4,20,"population","LD50_low",-21.35861043,-10.35427114,"NA",NA,NA,12,12,17.625,-27.7625,-5.725,45.3875,"lower",0.687771205625
"10","Armstong_et_al_2020","Arabidopsis_lyrata","Tracheophyta","rockcress",9,"terrestrial","direct","<1","Cedar_Mountain_NC",36.426667,-79.93777778,"adult","uncertain",4,20,"population","LD50_low",-18.05094602,-9.863268598,"NA",NA,NA,1,1,29.8,-0.5,14.74,30.3,"lower",0.511729838875
"11","Armstong_et_al_2020","Arabidopsis_lyrata","Tracheophyta","rockcress",9,"terrestrial","direct","<1","Presque_Isle_PA",42.14,-80.11,"adult","uncertain",4,20,"population","LD50_low",-19.68091838,-12.01718209,"NA",NA,NA,1,1,26.1,-5.8,9.9,31.9,"lower",0.478983518125
